Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
2.721,35.88397,8.610609,-4.246911,-0.1740573,-1.139582,99.99458,0.001856986,-0.00227
2.729334,35.92846,8.610597,-4.247904,-0.1741548,-1.140419,99.99986,0.001870144,-0.00227
2.737666,35.971,8.610574,-4.2488,-0.174239,-1.141168,99.99749,0.001881523,-0.0022698
2.746,36.01332,8.610559,-4.24971,-0.1743257,-1.141932,100.0316,0.001893663,-0.0022692
2.754333,36.05576,8.610538,-4.250887,-0.1744483,-1.142931,99.9946,0.001906364,-0.0022683
2.762666,36.1017,8.610528,-4.252053,-0.1745692,-1.143919,99.97938,0.001919143,-0.0022671
2.804334,36.32641,8.610551,-4.258056,-0.1751952,-1.14901,100.0182,0.001969563,-0.0022483
2.812666,36.37104,8.610528,-4.259067,-0.1752956,-1.149863,99.94856,0.001980334,-0.0022451
2.829333,36.45922,8.610516,-4.2614,-0.1755376,-1.151841,100.0045,0.002005028,-0.0022319
2.837666,36.50176,8.610501,-4.262743,-0.1756819,-1.152984,99.99887,0.00201472,-0.0022276
2.846,36.54706,8.61046,-4.263562,-0.1757564,-1.153668,100.0278,0.002018651,-0.0022215
2.854334,36.58921,8.610452,-4.264514,-0.175849,-1.154469,100.0072,0.00202879,-0.0022168
2.862666,36.63013,8.61045,-4.265148,-0.1758994,-1.154993,99.99895,0.002038712,-0.0022118
2.871,36.67111,8.610437,-4.265844,-0.1759584,-1.155569,100.014,0.002048105,-0.0022066
2.879333,36.71762,8.610434,-4.266678,-0.1760356,-1.156267,100.0563,0.002057692,-0.0022011
2.954333,37.11334,8.610566,-4.276016,-0.1769722,-1.164158,99.97247,0.002141144,-0.0021235
2.962666,37.15475,8.610531,-4.276844,-0.1770479,-1.16485,100.0004,0.002142412,-0.0021161
2.979334,37.23806,8.610506,-4.278402,-0.1771868,-1.166149,99.98638,0.002158174,-0.0020974
2.987666,37.27933,8.610461,-4.279254,-0.1772666,-1.166864,100.0262,0.002166381,-0.0020874
2.996,37.32598,8.610431,-4.280264,-0.1773671,-1.167716,100.0097,0.002175934,-0.0020772
3.004333,37.36171,8.610405,-4.28111,-0.1774459,-1.168426,99.98508,0.00217827,-0.0020697
3.012666,37.4039,8.610387,-4.28177,-0.1775005,-1.168972,100.0008,0.002187319,-0.0020591
3.021,37.44962,8.610379,-4.282419,-0.1775531,-1.169509,99.95949,0.002196057,-0.0020484
3.029333,37.49732,8.610347,-4.283188,-0.1776224,-1.170152,100.0291,0.002206048,-0.00203
3.062666,37.6619,8.610369,-4.287476,-0.1780626,-1.173781,100.0476,0.002236295,-0.0019886
3.087666,37.7846,8.610379,-4.290598,-0.1783832,-1.176422,99.98082,0.002264184,-0.0019525
3.104334,37.86848,8.610366,-4.29265,-0.1785939,-1.178157,100.0159,0.002277563,-0.0019319
