Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
1.021,36.22992,9.855474,-4.165715,-0.1630019,-1.068222,99.99672,0.000733957,0.00685438
1.029333,36.29586,9.855469,-4.162299,-0.1624978,-1.06518,100.0442,0.000707055,0.006773824
1.037667,36.36618,9.855447,-4.159084,-0.1620201,-1.062312,100.0013,0.000705982,0.006770468
1.046,36.43367,9.855444,-4.155894,-0.1615459,-1.059468,100.0102,0.000679898,0.006690647
1.054334,36.50292,9.855422,-4.152817,-0.1610862,-1.056721,100.0155,0.00065466,0.006611604
1.062667,36.57476,9.855399,-4.150242,-0.1606933,-1.054413,100.0094,0.000631582,0.006533465
1.071,36.6504,9.855379,-4.147476,-0.1602742,-1.051937,99.99647,0.000629989,0.006530254
1.079334,36.71725,9.855356,-4.144635,-0.1598448,-1.049394,99.99862,0.000605077,0.006453452
1.087666,36.7939,9.855353,-4.141705,-0.1594036,-1.046774,100.0013,0.000579737,0.006377
1.096,36.86668,9.855359,-4.13903,-0.1589963,-1.044377,99.96332,0.000555554,0.006301196
1.104334,36.9415,9.855384,-4.136252,-0.1585748,-1.041889,100.0356,0.000555391,0.00629798
1.112667,37.01582,9.855376,-4.133674,-0.1581793,-1.039574,99.99731,0.000533235,0.006223178
1.121,37.08894,9.855387,-4.131122,-0.1577874,-1.037284,99.98094,0.000512761,0.0061493
1.129334,37.16538,9.855409,-4.128813,-0.1574275,-1.035205,99.98672,0.000494515,0.006075764
1.137667,37.24326,9.855421,-4.126484,-0.1570644,-1.033107,100.0148,0.000495244,0.006072618
1.146,37.32286,9.85545,-4.12381,-0.1566553,-1.030708,100.0703,0.000478871,0.005999934
1.154334,37.39934,9.855453,-4.121371,-0.156277,-1.028513,99.91968,0.000464099,0.005927818
1.162667,37.47744,9.855449,-4.118942,-0.1559003,-1.026327,100.0165,0.000451394,0.005856877
1.171,37.55672,9.855451,-4.1167,-0.1555487,-1.024305,99.98016,0.000452363,0.005853892
1.179334,37.63916,9.855461,-4.114241,-0.155168,-1.022091,100.0133,0.000442072,0.005783325
1.187667,37.71788,9.855424,-4.11207,-0.154826,-1.020128,100.0372,0.000433304,0.005713657
1.196,37.7991,9.855399,-4.110152,-0.154518,-1.018389,99.98976,0.000425125,0.005644718
1.204334,37.87132,9.855406,-4.108215,-0.154208,-1.016632,99.98696,0.000416526,0.005576798
1.212666,37.95459,9.855402,-4.106302,-0.1539014,-1.014896,100.0009,0.000406293,0.0055094
